City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
308,tahe,52.3333,124.7333,-25.29,100,95,0.94,CN,1675713638
309,raahe,64.6833,24.4833,-0.95,91,100,7.03,FI,1675713639
310,katherine,-14.4667,132.2667,23.18,88,7,0.0,AU,1675713639
311,san carlos,9.6612,-68.5827,34.88,25,37,2.71,VE,1675713640
312,bathsheba,13.2167,-59.5167,28.34,65,40,9.26,BB,1675713640
313,namibe,-15.1961,12.1522,21.79,77,95,3.22,AO,1675713642
314,lata,40.1629,-8.3327,12.67,64,1,2.47,PT,1675713643
315,leshukonskoye,64.8989,45.7622,-18.03,98,86,2.13,RU,1675713644
316,ahipara,-35.1667,173.1667,19.62,75,14,3.33,NZ,1675713645
317,aksarka,66.5606,67.7975,-27.07,100,100,0.78,RU,1675713646
318,north ogden,41.3072,-111.9602,2.75,87,100,0.45,US,1675713646
319,tual,-5.6667,132.75,27.46,76,100,6.61,ID,1675713647
320,ekibastuz,51.6667,75.3667,-16.28,99,82,0.86,KZ,1675713647
321,egvekinot,66.3167,-179.1667,-27.18,87,100,4.53,RU,1675713647
322,ondjiva,-17.0667,15.7333,24.26,47,99,1.28,AO,1675713648
323,filadelfia,39.9523,-75.1638,9.41,58,75,9.26,US,1675713543
324,khuzdar,27.7384,66.6434,11.77,24,0,2.72,PK,1675713649
325,grimsby,53.5654,-0.0755,4.43,84,65,2.57,GB,1675713644
326,bangassou,4.7413,22.8184,24.63,20,3,0.5,CF,1675713650
327,manacapuru,-3.2997,-60.6206,30.03,64,90,1.0,BR,1675713650
328,edson,53.5835,-116.4356,6.08,36,100,3.09,CA,1675713651
329,jesup,31.6074,-81.8854,21.3,26,0,4.63,US,1675713651
330,mildura,-34.2,142.15,14.48,72,0,4.66,AU,1675713652
331,san patricio,28.017,-97.5169,26.76,55,16,9.18,US,1675713653
332,portales,34.1862,-103.3344,17.38,17,0,1.34,US,1675713653
333,nome,64.5011,-165.4064,-17.97,89,100,2.1,US,1675713653
334,nuoro,40.3211,9.3297,2.4,94,100,2.37,IT,1675713301
335,zanjan,36.6736,48.4787,-0.67,91,99,5.66,IR,1675713654
336,meadow lake,34.8014,-106.5436,12.05,25,28,9.12,US,1675713654
337,havelock,34.8791,-76.9013,16.1,46,0,7.72,US,1675713597
338,kousseri,12.0769,15.0306,26.98,16,100,2.57,CM,1675713655
339,harper,4.375,-7.7169,26.37,79,100,3.48,LR,1675713656
340,blyth,55.1271,-1.5086,7.1,71,40,2.57,GB,1675713657
341,sao miguel do araguaia,-13.275,-50.1628,29.02,72,100,1.2,BR,1675713657
342,teguise,29.0605,-13.564,15.12,59,40,2.57,ES,1675713521
343,ashdod,31.8167,34.65,12.16,77,90,13.5,IL,1675713658
344,brae,60.3964,-1.353,8.95,74,96,11.39,GB,1675713658
345,xiaoshi,41.2971,124.1209,-6.85,55,100,0.9,CN,1675713659
346,achi,8.5682,-74.554,36.69,35,49,1.25,CO,1675713659
347,port hedland,-20.3167,118.5667,28.03,83,3,2.57,AU,1675713661
348,palmer,42.1584,-72.3287,7.26,57,100,8.23,US,1675713662
349,naze,28.3667,129.4833,17.51,87,8,5.56,JP,1675713662
350,tumpat,6.1978,102.171,25.01,94,20,0.51,MY,1675713663
351,maposeni,-10.5833,35.4,20.53,92,100,0.61,TZ,1675713664
352,disna,55.568,28.1971,-1.32,96,100,3.81,BY,1675713666
353,severo-kurilsk,50.6789,156.125,-4.03,73,100,10.15,RU,1675713667
354,ojinaga,29.5667,-104.4167,26.43,27,0,2.06,MX,1675713418
355,mathbaria,22.2876,89.9593,17.24,77,18,1.32,BD,1675713669
356,zverinogolovskoye,54.4586,64.8542,-21.39,100,92,1.14,RU,1675713670
357,coachella,33.6803,-116.1739,22.15,17,0,9.26,US,1675713673
358,sibut,5.718,19.0739,27.15,15,10,1.54,CF,1675713676
359,aswan,24.0934,32.907,17.61,34,0,2.57,EG,1675713679
360,beyneu,45.3167,55.2,1.45,83,100,7.3,KZ,1675713681
361,la palma,33.8464,-118.0467,20.98,38,0,2.24,US,1675713348
362,tikhvin,59.6451,33.5294,-9.8,99,89,0.97,RU,1675713684
363,birin,26.8865,88.0718,7.41,75,5,1.55,NP,1675713687
